R.H,Pres_Vap,Temp,Hum
26.1,610.2674936115609,20,3.9972520831557237
17,605.7258653185054,27,3.9675044178362096
51.4,1831.4299692571278,27,11.995866298634187
73.2,2290.1775758655353,24.8,15.000663121919256
80,2296.0664420000776,23.36,15.039235195100506
80,2246.7525608614924,23,14.716229273642773
80,2179.799928502251,22.5,14.277689531689743
80,2114.600224053654,22,13.850631467551434
80,2051.11394296101,21.5,13.434796326394613
80,1989.3023258664261,21,13.029930234425091
80,1870.5517045565084,20,12.252113664845128
26.15,611.4365884269087,20,4.0049096541962514
