country,academic institution
Austria,UASoS
Belgium,BBRI
Belgium,UGent
Belgium,BBRI
Belgium,UGent
Belgium,KUL
Belgium,BBRI
Belgium,UAntwerp
Belgium,UGent
Chile,PUC
Denmark,DTU
Denmark,AAU
Denmark,DTU
Denmark,DTU
Denmark,DTU
Denmark,AAU
France,ULR
France,UPJV
France,Cerema
France,ULille
France,CETIAT
France,ULR
France,ULille
France,CETIAT
Ireland,NUIG
New Zealand,BRANZ
People's Republic of China,NJU
People's Republic of China,BUCEA
Switzerland,EPFL
United Kingdom,UoN
United Kingdom,UoS
United Kingdom,LU
United Kingdom,UoS
United Kingdom,LU
United States,SU
United States,UMD
