country,interval_Min,interval_Q1,interval_Median,interval_Mean,interval_Q3,interval_Max,Nestim,N,NAs,Mean,Sd,p00,p00.5,p01,p02,p02.5,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p97.5,p98,p99,p99.5,p100
Austria,0,120,120,216.0,120,720,12960,12857,0,277.587,28.589,19.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,34.0
Belgium,0,120,120,216.0,120,720,12960,12857,0,304.937,10.139,25.56,28.33,28.33,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,32.22,32.22,32.22,32.22,32.22,32.22,32.78,32.78,32.78,32.78,32.78
Chile,114,120,120,190.8,120,480,4320,4241,0,353.726,32.896,26.0,27.0,28.0,29.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,43.0,43.0,43.0
Denmark,114,120,120,190.8,120,480,4320,4241,0,25.023,0.9322,22.22,23.33,23.33,23.33,23.33,23.33,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,23.89,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.44,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.67,26.67,26.67,26.67,26.67,26.67,26.67,27.22,27.22,27.22,27.22,27.22,27.22
France,109,120,120,720521.0,120,3602136,10080,9652,0,36.883,38.384,27.0,27.0,27.0,28.0,28.0,28.0,29.0,29.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,44.0,45.0,48.0
Ireland,109,120,120,720521.0,120,3602136,10080,9652,0,258.774,15.497,18.33,21.67,22.22,22.22,22.22,22.78,22.78,22.78,22.78,23.33,23.33,23.33,23.89,23.89,23.89,23.89,23.89,24.44,24.44,24.44,24.44,24.44,24.44,24.44,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,25.56,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,28.33,28.33,28.33,28.33,28.33,28.33,28.89,28.89
New Zealand,98,120,120,186.0,120,472,18720,18075,0,315.733,33.228,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,39.0,39.0,40.0,40.0
People's Republic of China,98,120,120,186.0,120,472,18720,18075,0,274.485,10.396,20.56,25.0,25.0,25.56,25.56,25.56,25.56,25.56,25.56,25.56,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.89,28.89,28.89,28.89,28.89,28.89,28.89,29.44,29.44,30.0,30.56,30.56,31.11
Switzerland,111,120,120,190.2,120,480,20160,20140,0,271.424,30.993,18.0,19.0,19.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.35,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,34.0,34.0
United Kingdom,111,120,120,190.2,120,480,20160,20140,0,312.089,12.313,27.22,28.89,28.89,28.89,28.89,28.89,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,30.56,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.11,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.78,32.78,32.78,32.78,32.78,32.78,32.78,32.78,32.78,33.33,33.33,33.33,33.33,33.33,33.33,33.89,33.89,33.89,34.44
